suite_name,exp_name,run,host_idx,mpc.script_name,mpc.domain,mpc.script_args.dataset,mpc_type,network_type,consistency_args.type,mpc_time_s,auditing_overhead_s,auditing_overhead_bytes,global_data_sent_bytes,n_rounds,share_convert_time_s,share_convert_global_bytes,poly_commit_time_s,poly_commit_global_bytes,sign_time_s,sign_global_bytes,sign_sk_time_s,sign_sk_global_bytes,Unnamed: 0,commitment_train,commitment_model,commitment_prediction_x,commitment_prediction_y,commitment_randomness,trusted_setup,signature_train,signature_modelowner,signature_computer_train,signature_computer_inference,identity_train,identity_modelowner,identity_computer_train,identity_computer_inference,storage_train,storage_inference
train_3pc,sh,11,1,training,ring,cifar_alexnet,sh,lan,cerebro,1377.0703,691876.030763251,25714874664250.0,1788539825000.0,58844808,4.064167,1159519464.0,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
train_3pc,sh,11,2,training,ring,cifar_alexnet,sh,lan,cerebro,1377.0725,691876.405825627,25714874664250.0,1788539825000.0,62524927,4.110395,1159519464.0,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
train_3pc_wan,wan,11,0,training,ring,cifar_alexnet,sh,wan,cerebro,69072.357,183119894.9080761,25714874664250.0,1885174049000.0,724321,16.870157,1159519464.0,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
train_3pc_wan,wan,11,1,training,ring,cifar_alexnet,sh,wan,cerebro,69083.4672,183119897.64362633,25714874664250.0,1885174049000.0,674188,16.418402,1159519464.0,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
train_3pc_wan,wan,11,2,training,ring,cifar_alexnet,sh,wan,cerebro,69083.4333,183119894.27570358,25714874664250.0,1885174049000.0,724318,16.705238,1159519464.0,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
train_3pc_wan,wan,29,0,training,ring,cifar_alexnet,mal,wan,cerebro,738332.902,260027195.99107867,1078791600745410.0,24687843289999.996,3648497,160.196522,24466581720.0,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
train_3pc_wan,wan,29,1,training,ring,cifar_alexnet,mal,wan,cerebro,738332.862,260027184.24562567,1078791600745410.0,24687843289999.996,3648493,160.17255,24466581720.0,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
train_3pc_wan,wan,29,2,training,ring,cifar_alexnet,mal,wan,cerebro,738332.862,260027184.25110662,1078791600745410.0,24687843289999.996,3648494,160.158323,24466581720.0,,,,,,,10,4916800000,124225856,98304,32,32,0,192,64,64,64,96,32,96,96,5041026144,5041124608
train_3pc,mal,13,0,training,ring,adult,mal,lan,pc,70.5354744,34.298560729,14760538308.0,26830202199.999996,1026086,0.81888,59643890.0,0.033534,360.0,0.00756,2070.0,0.000909,528.0,0,144,48,48,48,48,4368,192,64,64,64,96,32,96,96,496,720
train_3pc,mal,13,1,training,ring,adult,mal,lan,pc,70.5329944,34.476913202,14760538308.0,26830202199.999996,1026085,0.823874,59643890.0,0.03359,360.0,0.007513,2070.0,0.000913,528.0,0,144,48,48,48,48,4368,192,64,64,64,96,32,96,96,496,720
train_3pc,mal,13,2,training,ring,adult,mal,lan,pc,70.5351244,34.47385012,14760538308.0,26830202199.999996,1026086,0.820511,59643890.0,0.028399,360.0,0.00752,2070.0,0.000923,528.0,0,144,48,48,48,48,4368,192,64,64,64,96,32,96,96,496,720
train_3pc,sh,13,0,training,ring,adult,sh,lan,pc,12.315752,9.661217139,547723634.0,1334999070.0,897886,0.199672,796176.0,0.02324,168.0,0.004692,726.0,0.000184,96.0,0,144,48,48,48,48,4368,192,64,64,64,96,32,96,96,496,720
train_3pc,sh,13,1,training,ring,adult,sh,lan,pc,12.374492,9.632522338,547723634.0,1334999070.0,895228,0.20519,796176.0,0.014393,168.0,0.004686,726.0,0.00013,96.0,0,144,48,48,48,48,4368,192,64,64,64,96,32,96,96,496,720
